Ранг	Токен	Частота
1	в	5366277
2	и	4257873
3	—	3281316
4	с	1880455
5	на	1812904
6	↑	1196010
7	года	1092844
8	по	771579
9	а	732477
10	из	670470
11	к	659548
12	не	644124
13	код	602413
14	править	591082
15	от	538183
16	1	508601
17	дата	504053
18	архивировано	494470
19	что	478376
20	году	472663
21	обращения	468927
22	о	465500
23	2	453273
24	для	423599
25	как	411548
26	м	391847
27	его	353377
28	был	319935
29	the	307106
30	за	303285
31	3	296753
32	до	290280
33	он	279841
34	также	272007
35	4	265080
36	•	248641
37	или	242850
38	5	227431
39	г	227095
40	после	222437
41	of	214474
42	но	211576
43	это	202121
44	при	193055
45	н	192638
46	было	191283
47	гончарова	189890
48	были	189452
49	у	189318
50	декабря	189298
51	во	189231
52	января	188095
53	марта	185986
54	мая	182173
55	№	181867
56	6	181060
57	под	179569
58	была	179468
59	октября	177955
60	т	175830
61	время	172140
62	isbn	168150
63	англ	166788
64	ссср	165788
65	августа	165513
66	июня	165161
67	ноября	163726
68	апреля	161851
69	сентября	161849
70	год	160938
71	июля	158716
72	7	157981
73	февраля	156468
74	так	154904
75	россии	154551
76	10	152920
77	их	152854
78	8	148819
79	же	141918
80	2022	136650
81	2021	131730
82	9	129255
83	2012	128702
84	12	125959
85	только	125640
86	and	125472
87	2019	125062
88	см	123911
89	p	122273
90	2016	122248
91	2020	121978
92	где	119714
93	11	118713
94	15	117636
95	2017	116621
96	20	115781
97	2011	115577
98	она	115373
99	2018	113884
100	2013	113189
